year,City,Bachelor,One-Bedroom,Two-Bedroom,Three-Bedroom
2016_Q1,Brampton,,1365.0,1505.0,1575.0
2016_Q1,City of Toronto,1380.0,1701.0,2544.0,2963.0
2017_Q1,Brampton,1200.0,1415.0,1681.0,1670.0
2017_Q1,City of Toronto,1510.0,1839.0,2570.0,3480.0
2018_Q1,Brampton,,1595.0,1776.0,1975.0
2018_Q1,City of Toronto,1662.0,2055.0,2836.0,3597.0
2019_Q1,Brampton,1400.0,1747.0,2045.0,2175.0
2019_Q1,City of Toronto,1822.0,2186.0,2964.0,3997.0
2020_Q1,Brampton,1650.0,1900.0,2225.0,
2020_Q1,City of Toronto,1851.0,2222.0,2943.0,
2021_Q1,Brampton,,1796.0,2162.0,2360.0
2021_Q1,City of Toronto,1403.0,1819.0,2504.0,3286.0
2021_Q2,Brampton,1349.0,1834.0,2159.0,2383.0
2021_Q2,City of Toronto,1464.0,1887.0,2637.0,3454.0
2021_Q3,Brampton,1400.0,1857.0,2190.0,2633.0
2021_Q3,City of Toronto,1707.0,2082.0,2885.0,3818.0
